,sabor,variedad,servicio,ambiente,precio,higiene,ubicación,1,2,3,4,5,name,average_rating,total_user_ratings
ChIJ_6PxIP_-0YURb-iv-Yq3gPM,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,6,19,35,La Cocina Tradicional Mexicana,4.5,104
ChIJ06Wq3J4BzoUREnZuxiDcPo8,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,2,4,29,Candelilla 16,4.6,73
ChIJ0-IjfKoDzoURrhSoInEmyrs,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,0,5,36,Antojitos Méxicanos Don Max,4.7,94
ChIJ0RedUVYCzoURQcJ0Bo5LJew,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,3,12,41,Rico Amanecer,4.6,108
ChIJ0Vr0QeUB0oURZfWZGMhVCpg,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,3,1,16,72,El Lago Restaurante,4.5,4939
ChIJ21LyB_f_0YURW_F1RfqWhiI,"{'positive': 7, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 2}","{'positive': 1, 'negative': 0}","{'positive': 2, 'negative': 2}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,5,11,49,Guadiana,4.6,643
ChIJ2aMgewj_0YURpdcFaz8FMgs,"{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 2}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,3,5,19,65,Hanal K'U,4.5,484
ChIJ2bbY7Dv-0YURUiiWvISOsIM,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",7,3,8,16,61,Carnitas Don Rafa,4.3,856
ChIJ2YvzBf7_0YUR8sk-6mA9wG8,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,2,4,9,61,El Gnomo,4.6,2375
ChIJ3xty5nT_0YUR3YiY2g8h1b0,"{'positive': 10, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 2}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",2,1,7,19,58,Las Polas del Valle,4.5,911
ChIJ48KvaD7_0YURhzmZCryLbSw,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 4}","{'positive': 10, 'negative': 1}","{'positive': 0, 'negative': 0}",0,2,6,19,60,Mercado Medellín,4.3,10951
ChIJ4ftOXEH-zYUREp_SkJ49kVI,"{'positive': 2, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,2,12,70,TORTAS AHOGADAS EL CHIFLADERO GDL,4.6,389
ChIJ6aAgy3740YURlAM6t3ylxuk,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}",4,0,3,16,70,La Perla Tapatía Azcapotzalco,4.6,1345
ChIJ6QlgPHr40YURLu6gEG4Y5m0,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,2,2,5,46,"Las Klauyudas, tlayudas y antojitos oaxaqueños",4.6,87
ChIJ7w5HFPj_0YURHTyE1LwPB_c,"{'positive': 39, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 9, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 6, 'negative': 0}","{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}",3,0,3,30,291,Restaurante El Cardenal,4.7,7123
ChIJ7WAfwbv_0YURiSIZGMdRuto,"{'positive': 8, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 3}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}",4,2,9,16,84,Tlayudas el Tasajo,4.5,1146
ChIJ9fq-YdH-0YURa3zaK7Gz8lc,"{'positive': 11, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 5, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 4, 'negative': 1}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,2,12,89,Zéfiro,4.7,301
ChIJa1lZNZ__0YURjDHz4gNWVQc,"{'positive': 4, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 3, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 10}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 1}",11,1,9,21,61,Hostal de Los Quesos,4.3,4090
ChIJASya8GX50YURN0r_0oVNXTU,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,4,8,47,Restaurante El Estanquillo El 32,4.7,113
ChIJBa69bJkC0oURgUnOYp0Jiuw,"{'positive': 5, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,2,3,10,77,Barbacoa Renatos,4.7,209
ChIJBeL1vQj_0YURMcKqVViw2ok,"{'positive': 17, 'negative': 1}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 2}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",8,4,7,13,81,Piloncillo y Cascabel,4.6,1204
ChIJbS0fR3740YUR9YaIL0WpqpU,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 4}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",2,3,2,13,23,Los Tacos De Pepe,4.6,73
ChIJbS8EZf8B0oURwwD8B0MpqK0,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",3,3,4,8,71,Quintonil,4.6,1332
ChIJCacXGY350YURPOvR1VMkAl0,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",2,0,4,8,74,Mexicano Masaryk,4.7,134
ChIJCb0mr30C0oURB9O4eiWffhc,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 4, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 6}","{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}",3,1,6,18,58,Los Jarochos,4.5,2387
ChIJcXkqTmP_0YURgL7SkW2AGaY,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 3}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,2,17,67,Prendes,4.6,641
ChIJD08EXM340YURzuNh3vsiCYs,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 5}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,0,9,15,59,Cantina Cuchilleros,4.5,1215
ChIJeYLOZMT_0YURFEhp2ubb43c,"{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 5}","{'positive': 6, 'negative': 1}","{'positive': 0, 'negative': 0}",1,1,5,15,53,Coyoacan Market,4.4,29111
ChIJF8Q-YKoDzoURlfezp6Xfjp0,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 5, 'negative': 1}","{'positive': 0, 'negative': 0}",3,1,4,20,61,Molinillo,4.5,164
ChIJfwECS90A0oURxk3EZ4msfs4,"{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,4,6,14,39,La Imperial Samara Santa Fe,4.5,705
ChIJgX7NHyQFzoURHKN3tanlLzY,"{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",1,0,5,16,50,Carnitas El Amigo Campos,4.4,304
ChIJgxgQ_Sz50YURoJpnpRhMn7o,"{'positive': 8, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 7}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,2,6,23,79,Limosneros,4.6,1772
ChIJH6k-DVD50YURL6RiM5nEb_Y,"{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 0, 'negative': 0}",0,1,4,16,48,Carnes Asadas Mi Rancho,4.5,125
ChIJHelenvj_zYUR7usHqmqB4tY,"{'positive': 10, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 2}","{'positive': 0, 'negative': 3}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",3,1,1,17,72,Los Arcos,4.6,2364
ChIJhX6jMpj50YUR3poUnV408b4,"{'positive': 14, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 4}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,3,14,69,Monte Cristo,4.6,1625
ChIJHX88qk7-zYURadLbl5Wksko,"{'positive': 8, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,3,17,64,Pozoleria Las Cazuelas,4.5,389
ChIJI86k6pv_0YURi0wZNJo8q1M,"{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,0,1,9,78,Quesadillas de doña Juanita,4.6,384
ChIJJ08y4CQH0oURDHmemy5Srno,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 8}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 0}",6,7,12,20,44,Birria El Compadre (Restaurante-Bar),4.1,274
ChIJk0hhrEIAzoURalWFM4X3ssc,"{'positive': 17, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 3}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 3}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",4,1,4,13,76,El Remolkito del Sirloin,4.7,1936
ChIJK8O1qTL50YURg1gtyCZBT2A,"{'positive': 10, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 1, 'negative': 4}","{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}",5,0,1,14,77,Mercaderes,4.6,2131
ChIJkakAt2j_0YUReRVJVRpH5N0,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 6}","{'positive': 16, 'negative': 0}","{'positive': 0, 'negative': 0}",2,0,12,19,47,Escandon Market,4.2,4143
ChIJKeZYsvj40YURpXblgYsay4w,"{'positive': 20, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",2,3,2,6,62,Las Delicias,4.7,286
ChIJkzWrrxX5zYURjohBBW22J98,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,0,1,4,El Antojito,4.8,9
ChIJL4C87Ez-0YURjLD2pDPWOSw,"{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 4, 'negative': 1}","{'positive': 0, 'negative': 0}",0,2,5,17,77,Huaraches los portales,4.6,969
ChIJL5oQ-JMC0oURZaf9wq4TjBg,"{'positive': 11, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",2,1,9,14,62,El Rincón Gourmet,4.5,480
ChIJLUG4-p750YURr_H6VaVUHFg,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,2,6,22,Sahmich,4.6,54
ChIJM6YjeUH_0YUReQE4xzR17ZA,"{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 9}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,4,12,19,70,La Guerrerense,4.4,386
ChIJMctPPxkB0oURd5rSwaBHMvU,"{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,4,14,51,Costa Guadiana,4.6,248
ChIJmczdmnv_0YURugxxhJ5Td90,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 4}","{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,9,27,41,San Pedro de los Pinos Market,4.3,6813
ChIJmRyjRi350YUR5JZ-zfmpy6M,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 4}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",3,2,11,11,77,El Balcón del Zócalo,4.6,4014
ChIJMXv44Hn40YURLiHHccBCX1A,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",0,2,4,16,61,Mi Pueblo Nuevo,4.6,902
ChIJmZ2mGlACzoURlX59N2X8mXQ,"{'positive': 7, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",3,0,5,11,60,EL Callejon De Los Abuelos,4.5,254
ChIJncEmrMMA0oURKh9kJqISKCY,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",3,1,0,13,51,Toro,4.6,258
ChIJnznjaPoCzoURUt3xWtMpatQ,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,0,1,21,Comedor Comunitario ''FLORES'' N.636,4.5,57
ChIJObz6-D0FzoUR3DltyAAnV4w,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,1,4,14,Pulques Artesanales Milpa Alta,4.5,51
ChIJoRh42vX40YUREHC4v1YNW3w,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,2,3,20,63,Gorditas michoacanas cano,4.5,179
ChIJOUt-Z_n40YURzpik35UGuS8,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,3,3,16,71,Cochinita Pibil Kooben,4.6,367
ChIJoWYxEDf_0YURKQ4yzO0cDPI,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",3,6,9,17,55,Bar Lepanto,4.3,1882
ChIJPTKIjkL_0YURxVHr3fClJVs,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,0,2,0,9,Tacos Richard,4.4,22
ChIJPVNOCAAC0oURSYtY8JP39VE,"{'positive': 14, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 8, 'negative': 2}","{'positive': 2, 'negative': 0}","{'positive': 2, 'negative': 2}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",4,0,10,30,154,Porfirio's Masaryk | Restaurante de comida mexicana,4.5,3287
ChIJPZR8esX_0YURLn19i9XLfn4,"{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,0,2,35,El Olmo Azul,4.9,69
ChIJQ7PTnCQB0oUR3BM4Eyrbo_4,"{'positive': 14, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 3, 'negative': 1}","{'positive': 3, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",3,4,5,19,80,Alba Cocina Local,4.7,280
ChIJQwV_jIcC0oURJCEnuCkX9V8,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 4}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",2,2,4,17,77,Birria Alex Chacón,4.6,215
ChIJR0-0Sfj_zYUR8Vj7YHX3Hvs,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",2,3,5,18,68,LOS AMABLES,4.6,388
ChIJR6RG1pv_0YURmXE_3q0nhEE,"{'positive': 8, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,0,4,12,88,Fonda 99.99,4.5,3518
ChIJR9WWFMP_0YURY2cMl0sNyyc,"{'positive': 14, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 5}","{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",4,0,2,16,89,Amatista Tostadas,4.7,656
ChIJRbTWPoMCzoUR0Z1pr-oS_TI,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,0,9,16,La tía Juanita,4.5,58
ChIJrfdPdxP_0YUR1kIGyUDyoQU,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,0,1,5,28,La Jefa,4.8,51
ChIJrfTq9Tr_0YURAW5g2EXpLMY,"{'positive': 7, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 4}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",3,3,4,19,59,99,4.6,887
ChIJrVoDKiv50YURHIyItBol2NY,"{'positive': 8, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,2,19,86,Testal,4.5,1658
ChIJrXiQqKr_0YURQRyD-zBJQS0,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,1,7,35,EL POZOLE DE LA VECINA,4.6,96
ChIJrzFa3_8CzoURpd9RsgHkGRw,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,5,13,58,Taquería ''Los Taquitos'',4.5,764
ChIJs29OZZH40YUR73753MLhEnc,"{'positive': 17, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}",2,1,5,13,73,"Restaurante ""Mi Morenita""",4.6,277
