,sabor,variedad,servicio,ambiente,precio,higiene,ubicación,1,2,3,4,5,name,average_rating,total_user_ratings
Pozoleria Las Cazuelas,"{'positive': 8, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,3,17,64,Pozoleria Las Cazuelas,4.5,389
Quesadillas de doña Juanita,"{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,0,1,9,78,Quesadillas de doña Juanita,4.6,384
Birria El Compadre (Restaurante-Bar),"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 8}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 0}",6,7,12,20,44,Birria El Compadre (Restaurante-Bar),4.1,274
El Remolkito del Sirloin,"{'positive': 17, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 3}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 3}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",4,1,4,13,76,El Remolkito del Sirloin,4.7,1936
Mercaderes,"{'positive': 10, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 1, 'negative': 4}","{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}",5,0,1,14,77,Mercaderes,4.6,2131
Escandon Market,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 6}","{'positive': 16, 'negative': 0}","{'positive': 0, 'negative': 0}",2,0,12,19,47,Escandon Market,4.2,4143
Las Delicias,"{'positive': 20, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",2,3,2,6,62,Las Delicias,4.7,286
El Antojito,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,0,1,4,El Antojito,4.8,9
Huaraches los portales,"{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 4, 'negative': 1}","{'positive': 0, 'negative': 0}",0,2,5,17,77,Huaraches los portales,4.6,969
El Rincón Gourmet,"{'positive': 11, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",2,1,9,14,62,El Rincón Gourmet,4.5,480
Sahmich,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,2,6,22,Sahmich,4.6,54
La Guerrerense,"{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 9}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,4,12,19,70,La Guerrerense,4.4,386
Costa Guadiana,"{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,4,14,51,Costa Guadiana,4.6,248
San Pedro de los Pinos Market,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 4}","{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,9,27,41,San Pedro de los Pinos Market,4.3,6813
El Balcón del Zócalo,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 4}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",3,2,11,11,77,El Balcón del Zócalo,4.6,4014
Mi Pueblo Nuevo,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",0,2,4,16,61,Mi Pueblo Nuevo,4.6,902
EL Callejon De Los Abuelos,"{'positive': 7, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",3,0,5,11,60,EL Callejon De Los Abuelos,4.5,254
Toro,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",3,1,0,13,51,Toro,4.6,258
Comedor Comunitario ''FLORES'' N.636,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,0,1,21,Comedor Comunitario ''FLORES'' N.636,4.5,57
Pulques Artesanales Milpa Alta,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,1,4,14,Pulques Artesanales Milpa Alta,4.5,51
Gorditas michoacanas cano,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,2,3,20,63,Gorditas michoacanas cano,4.5,179
Cochinita Pibil Kooben,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,3,3,16,71,Cochinita Pibil Kooben,4.6,367
Bar Lepanto,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",3,6,9,17,55,Bar Lepanto,4.3,1882
Tacos Richard,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,0,2,0,9,Tacos Richard,4.4,22
Porfirio's Masaryk | Restaurante de comida mexicana,"{'positive': 14, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 8, 'negative': 2}","{'positive': 2, 'negative': 0}","{'positive': 2, 'negative': 2}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",4,0,10,30,154,Porfirio's Masaryk | Restaurante de comida mexicana,4.5,3287
El Olmo Azul,"{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,0,2,35,El Olmo Azul,4.9,69
Alba Cocina Local,"{'positive': 14, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 3, 'negative': 1}","{'positive': 3, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",3,4,5,19,80,Alba Cocina Local,4.7,280
Birria Alex Chacón,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 4}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",2,2,4,17,77,Birria Alex Chacón,4.6,215
LOS AMABLES,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",2,3,5,18,68,LOS AMABLES,4.6,388
Fonda 99.99,"{'positive': 8, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,0,4,12,88,Fonda 99.99,4.5,3518
Amatista Tostadas,"{'positive': 14, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 5}","{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",4,0,2,16,89,Amatista Tostadas,4.7,656
La tía Juanita,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,0,9,16,La tía Juanita,4.5,58
La Jefa,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,0,1,5,28,La Jefa,4.8,51
99,"{'positive': 7, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 4}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",3,3,4,19,59,99,4.6,887
Testal,"{'positive': 8, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,2,19,86,Testal,4.5,1658
EL POZOLE DE LA VECINA,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,1,7,35,EL POZOLE DE LA VECINA,4.6,96
Taquería ''Los Taquitos'',"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,5,13,58,Taquería ''Los Taquitos'',4.5,764
"Restaurante ""Mi Morenita""","{'positive': 17, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}",2,1,5,13,73,"Restaurante ""Mi Morenita""",4.6,277
"Comida Mexicana ""Las Cazuelitas""","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,1,3,13,"Comida Mexicana ""Las Cazuelitas""",4.7,35
La Casa del Abuelo (Desayunos),"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,0,0,11,La Casa del Abuelo (Desayunos),4.5,36
"Pozoleria ""Linda""","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,3,5,13,46,"Pozoleria ""Linda""",4.3,264
La Capital,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 3}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",4,1,9,13,69,La Capital,4.5,1515
Lonchería Don Pepe,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 1}","{'positive': 0, 'negative': 0}",4,2,6,17,59,Lonchería Don Pepe,4.5,453
El Cardenal Alameda,"{'positive': 12, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}",2,0,6,9,84,El Cardenal Alameda,4.7,5972
Alberto's,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",2,0,8,19,63,Alberto's,4.5,954
ANTOJITOS MEXICANOS ADELA,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,1,9,22,ANTOJITOS MEXICANOS ADELA,4.6,61
El Yute,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,4,7,29,El Yute,4.6,78
San Ángel Inn,"{'positive': 8, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",0,2,6,13,76,San Ángel Inn,4.7,5941
Guzina Oaxaca,"{'positive': 6, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 3, 'negative': 1}","{'positive': 2, 'negative': 1}","{'positive': 1, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",2,3,7,11,79,Guzina Oaxaca,4.5,987
Los Pumpos,"{'positive': 13, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 4, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 3, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",2,3,0,25,83,Los Pumpos,4.5,764
El Itakate,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 2}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,2,6,23,52,El Itakate,4.5,326
Fonda Mexicana EL SAUCE,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,2,7,25,Fonda Mexicana EL SAUCE,4.6,70
Pujol,"{'positive': 7, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",22,4,3,5,71,Pujol,4.6,3173
Palominos,"{'positive': 8, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 3}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",3,2,4,16,65,Palominos,4.5,1795
Restaurante Tierra Linda,"{'positive': 14, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 4}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",1,0,5,15,62,Restaurante Tierra Linda,4.6,854
EL ASADOR TAQUERIA,"{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}",4,2,2,17,28,EL ASADOR TAQUERIA,4.3,309
Rincón de mi Tierra,"{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 6}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}",1,3,6,15,65,Rincón de mi Tierra,4.6,156
Dulce Patria,"{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 7}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,4,5,20,59,Dulce Patria,4.5,1418
Mercado de San Juan,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 0}",1,1,6,17,64,Mercado de San Juan,4.5,10936
Rica Pancita Anita,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 2}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,6,20,86,Rica Pancita Anita,4.6,591
Birria 3 Estrellas,"{'positive': 7, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 1}",1,1,2,19,60,Birria 3 Estrellas,4.5,649
Las Delicias De Jalisco,"{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 3, 'negative': 1}","{'positive': 0, 'negative': 0}",1,5,5,14,72,Las Delicias De Jalisco,4.5,730
La Hacienda de los Morales,"{'positive': 4, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 4, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,1,1,12,56,La Hacienda de los Morales,4.6,11068
Quereres,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,0,4,30,Quereres,4.9,50
Chapulín,"{'positive': 12, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 4, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 5}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",2,6,10,13,55,Chapulín,4.6,1012
La Pizca Comida Mexicana & Gourmet,"{'positive': 8, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 5}","{'positive': 6, 'negative': 0}","{'positive': 0, 'negative': 0}",3,1,5,26,59,La Pizca Comida Mexicana & Gourmet,4.6,193
Huaraches 5 de Mayo,"{'positive': 11, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 2}","{'positive': 6, 'negative': 2}","{'positive': 0, 'negative': 0}",5,0,2,16,64,Huaraches 5 de Mayo,4.6,1194
Sylvestre Artz,"{'positive': 8, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,1,3,21,64,Sylvestre Artz,4.7,253
Mercado de Sonora,"{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",4,5,8,22,41,Mercado de Sonora,4.2,56676
Tortas El Volcan,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,2,4,25,Tortas El Volcan,4.6,57
Birria Estilo Jalisco - Food Stand,"{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,2,3,34,Birria Estilo Jalisco - Food Stand,4.6,79
Las Enchiladas del Parque,"{'positive': 7, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 4, 'negative': 1}","{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",3,2,5,13,69,Las Enchiladas del Parque,4.5,278
"A darle, que es taco vegano","{'positive': 12, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 3}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",3,2,10,13,62,"A darle, que es taco vegano",4.6,365
Pepe Coyotes Coyoacán,"{'positive': 10, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 3}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,5,15,69,Pepe Coyotes Coyoacán,4.5,4029
La Tecla,"{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 0}","{'positive': 4, 'negative': 1}","{'positive': 3, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",0,4,2,15,81,La Tecla,4.5,534
Mercado Roma,"{'positive': 2, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}",1,5,7,12,55,Mercado Roma,4.3,11317
MercadoRoma Coyoacán,"{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 3, 'negative': 0}","{'positive': 1, 'negative': 3}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",3,2,5,19,47,MercadoRoma Coyoacán,4.3,1988
El Pialadero de Guadalajara,"{'positive': 10, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 4, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 2}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",3,2,7,20,58,El Pialadero de Guadalajara,4.3,3171
